room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
19092367,1556,133352686,Shared room,,Montreal,,Le Plateau-Mont-Royal,0,0.0,1,1.0,,25.0,,2017-08-10 12:15:56.760163,45.507568,-73.575418,0101000020E6100000E7E104A6D36452C0813FFCFCF7C04640
10452402,1556,532616,Shared room,,Montreal,,Ville-Marie,50,4.5,4,1.0,,19.0,,2017-08-10 12:15:56.757710,45.495369,-73.577888,0101000020E61000000E30F31DFC6452C0E2395B4068BF4640
482611,1556,2350109,Shared room,,Montreal,,Le Sud-Ouest,0,0.0,2,1.0,,40.0,,2017-08-10 12:15:56.754738,45.47067,-73.591979,0101000020E6100000CD3AE3FBE26552C0AA9A20EA3EBC4640
14968868,1556,94276942,Shared room,,Montreal,,Le Plateau-Mont-Royal,1,0.0,1,1.0,,29.0,,2017-08-10 12:15:56.751810,45.508605,-73.573817,0101000020E6100000E338F06AB96452C082CAF8F719C14640
1614628,1556,8547729,Shared room,,Montreal,,Le Plateau-Mont-Royal,52,5.0,1,1.0,,31.0,,2017-08-10 12:15:56.748989,45.508214,-73.573808,0101000020E6100000B98B3045B96452C047AF06280DC14640
11361101,1556,59515508,Shared room,,Montreal,,Rosemont-La Petite-Patrie,2,0.0,1,1.0,,27.0,,2017-08-10 12:15:56.746047,45.542244,-73.597151,0101000020E610000084F1D3B8376652C0E2395B4068C54640
14249393,1556,86727424,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,16.0,,2017-08-10 12:15:56.743264,45.505966,-73.571738,0101000020E610000059F8FA5A976452C0A8716F7EC3C04640
7197083,1556,32372000,Shared room,,Montreal,,Le Plateau-Mont-Royal,14,4.5,10,1.0,,25.0,,2017-08-10 12:15:54.600575,45.515323,-73.574773,0101000020E6100000EC67B114C96452C035F0A31AF6C14640
20230928,1556,46488200,Shared room,,Montreal,,Le Plateau-Mont-Royal,1,0.0,1,1.0,,29.0,,2017-08-10 12:15:54.598417,45.512819,-73.575434,0101000020E61000006AC020E9D36452C03BE2900DA4C14640
15741288,1556,93878003,Shared room,,Montreal,,Saint-Laurent,0,0.0,1,1.0,,20.0,,2017-08-10 12:15:54.595760,45.507288,-73.694319,0101000020E6100000737FF5B86F6C52C09ED32CD0EEC04640
13668657,1556,21821080,Shared room,,Montreal,,Le Plateau-Mont-Royal,4,5.0,1,1.0,,21.0,,2017-08-10 12:15:54.593113,45.539153,-73.577449,0101000020E6100000E886A6ECF46452C028452BF702C54640
19721435,1556,132218343,Shared room,,Montreal,,Rosemont-La Petite-Patrie,5,4.0,3,1.0,,16.0,,2017-08-10 12:15:54.591020,45.571306,-73.573613,0101000020E6100000DEE34C13B66452C01901158E20C94640
16454896,1556,107938028,Shared room,,Montreal,,Rosemont-La Petite-Patrie,10,5.0,5,1.0,,26.0,,2017-08-10 12:15:54.588101,45.542105,-73.578108,0101000020E61000009563B2B8FF6452C0C1FF56B263C54640
19016289,1556,132681330,Shared room,,Montreal,,Le Sud-Ouest,0,0.0,2,1.0,,36.0,,2017-08-10 12:15:54.585875,45.494783,-73.556429,0101000020E6100000F16261889C6352C0F2CEA10C55BF4640
19945877,1556,7881297,Shared room,,Montreal,,Le Plateau-Mont-Royal,1,0.0,2,1.0,,21.0,,2017-08-10 12:15:54.583406,45.538722,-73.574839,0101000020E6100000C85D8429CA6452C05FD1ADD7F4C44640
19029998,1556,88379105,Shared room,,Montreal,,Rosemont-La Petite-Patrie,5,5.0,1,1.0,,25.0,,2017-08-10 12:15:54.581231,45.55592,-73.568959,0101000020E6100000F47002D3696452C09E98F56228C74640
11421258,1556,59986180,Shared room,,Montreal,,Villeray-Saint-Michel-Parc-Extension,1,0.0,2,1.0,,13.0,,2017-08-10 12:15:54.578456,45.527646,-73.620814,0101000020E610000088B9A46ABB6752C0BFEE74E789C34640
17721088,1556,15843163,Shared room,,Montreal,,Le Plateau-Mont-Royal,5,5.0,1,1.0,,16.0,,2017-08-10 12:15:54.576069,45.507661,-73.572213,0101000020E6100000265646239F6452C0323A2009FBC04640
18074549,1556,40419988,Shared room,,Montreal,,Villeray-Saint-Michel-Parc-Extension,0,0.0,2,1.0,,26.0,,2017-08-10 12:15:54.573435,45.531635,-73.642654,0101000020E610000030293E3E216952C059349D9D0CC44640
4448772,1556,4238907,Shared room,,Montreal,,Ville-Marie,32,4.5,1,1.0,,21.0,,2017-08-10 12:15:54.568856,45.500003,-73.55498,0101000020E6100000C87BD5CA846352C071732A1900C04640
13101110,1556,3168214,Shared room,,Montreal,,Mercier-Hochelaga-Maisonneuve,11,4.0,1,1.0,,13.0,,2017-08-10 12:15:54.566037,45.543518,-73.54817,0101000020E61000007EA99F37156352C0C76471FF91C54640
19619742,1556,39606423,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,0,0.0,2,1.0,,36.0,,2017-08-10 12:15:54.563571,45.494611,-73.610846,0101000020E61000001D39D219186752C0F59ECA694FBF4640
20126412,1556,138846933,Shared room,,Montreal,,Ville-Marie,1,0.0,2,1.0,,25.0,,2017-08-10 12:15:54.560813,45.493106,-73.583026,0101000020E6100000EFAD484C506552C00EBBEF181EBF4640
18023817,1556,118082341,Shared room,,Montreal,,Le Sud-Ouest,3,4.5,2,1.0,,36.0,,2017-08-10 12:15:54.558133,45.454615,-73.599175,0101000020E61000002C6519E2586652C0B1A206D330BA4640
11893693,1556,19059347,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,1,0.0,3,1.0,,33.0,,2017-08-10 12:15:54.552067,45.483307,-73.62089,0101000020E6100000761A69A9BC6752C0C576F700DDBD4640
14761519,1556,78256688,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,25.0,,2017-08-10 12:15:53.350281,45.496994,-73.584873,0101000020E61000000FD4298F6E6552C07427D87F9DBF4640
19153043,1556,133912862,Shared room,,Montreal,,Le Plateau-Mont-Royal,1,0.0,1,1.0,,29.0,,2017-08-10 12:15:53.348008,45.521955,-73.566317,0101000020E6100000CE8AA8893E6452C0E97DE36BCFC24640
19765160,1556,103457589,Shared room,,Montreal,,Le Plateau-Mont-Royal,3,5.0,1,1.0,,18.0,,2017-08-10 12:15:53.345697,45.50806,-73.573817,0101000020E6100000E338F06AB96452C0F0332E1C08C14640
4121843,1556,19977340,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,22,5.0,1,1.0,,18.0,,2017-08-10 12:15:53.342465,45.493353,-73.62538,0101000020E6100000A4E4D539066852C01631EC3026BF4640
19121120,1556,133624325,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,21.0,,2017-08-10 12:15:53.339668,45.496541,-73.580783,0101000020E6100000A8C4758C2B6552C0C30FCEA78EBF4640
12812327,1556,69861208,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,30,4.5,1,1.0,,16.0,,2017-08-10 12:15:53.321131,45.503174,-73.652559,0101000020E610000078EDD286C36952C04819710168C04640
